city,positionName,salaryMax,keyword,companySize,companyName,positionType,positionAdvantage,salaryMin,companyLabelList,formatCreatetime
上海,Java,20,java,50-150人,名传,后端开发,奖金无上限，牛人与牛人同行,12,"成长空间,绩效奖金,岗位晋升,年度旅游",2天前发布
上海,Java,20,java,2000人以上,新致软件,后端开发,待遇丰厚，餐补、旅游、商业保险,10,"技能培训,专项奖金,免费班车,带薪年假",2016-05-19
上海,Java,24,java,2000人以上,新致软件,后端开发,待遇丰厚，餐补、旅游、商业保险,12,"技能培训,专项奖金,免费班车,带薪年假",2016-05-19
乌海,Java工程师,6,java,50-150人,青迅,后端开发,五险一金 弹性管理,3,"技能培训,岗位晋升,管理规范,领导好",2天前发布
海口,java工程师（聚合平台方向、海口）,12,java,500-2000人,天涯社区,后端开发,高薪、团队氛围融洽、公司环境好。,8,"五险一金,交通补助,带薪年假,节日礼物",2天前发布
海口,Java开发工程师,12,java,150-500人,海航通信,后端开发,扁平管理 弹性办公 福利完善 办公环境优,7,"五险一金 ,交通补助 ,带薪年假 ,定期体检 ",2天前发布
上海,Java开发,20,java,500-2000人,泛微,后端开发,半年调薪 工作日免费三餐 国外旅游,15,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,Java开发,15,java,500-2000人,泛微,后端开发,半年调薪 国外旅游 工作日美味三餐,10,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
北京,java工程师,25,java,500-2000人,乐富支付,后端开发,有竞争力的薪酬、优秀的团队,13,"专项奖金,绩效奖金,年度旅游,定期体检",3天前发布
北京,Java,25,java,500-2000人,乐富支付,后端开发,公司发展快，空间大，互联网金融，移动端,15,"专项奖金,绩效奖金,年度旅游,定期体检",2016-05-25
深圳,Java,11,java,150-500人,博悦科创,后端开发,互联网人速度投 不解释,8,"年底双薪,定期体检,绩效奖金,技能培训",2天前发布
深圳,Java,12,java,150-500人,博悦科创,后端开发,发展好，平台大,6,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-13
上海,Java,20,java,2000人以上,新致软件,后端开发,旅游、饭补、补充商业保险，优质项目,10,"技能培训,专项奖金,免费班车,带薪年假",2016-05-24
